Home Team,Away Team,Winner,Point Differential
Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,10
Brooklyn Nets,Denver Nuggets,Denver Nuggets,5
Houston Rockets,Dallas Mavericks,Houston Rockets,26
Miami Heat,Atlanta Hawks,Miami Heat,9
Golden State Warriors,Washington Wizards,Golden State Warriors,11
Sacramento Kings,Phoenix Suns,Sacramento Kings,15
New York Knicks,Milwaukee Bucks,Milwaukee Bucks,19
Los Angeles Clippers,Boston Celtics,Boston Celtics,37
Charlotte Hornets,Denver Nuggets,Denver Nuggets,7
Indiana Pacers,Orlando Magic,Orlando Magic,7
New Orleans Pelicans,Houston Rockets,Houston Rockets,2
Atlanta Hawks,Memphis Grizzlies,Memphis Grizzlies,6
Brooklyn Nets,Detroit Pistons,Brooklyn Nets,11
Toronto Raptors,Utah Jazz,Utah Jazz,7
Chicago Bulls,Cleveland Cavaliers,Cleveland Cavaliers,14
Oklahoma City Thunder,Los Angeles Lakers,Los Angeles Lakers,9
Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,25
Golden State Warriors,Portland Trail Blazers,Golden State Warriors,20
Sacramento Kings,Minnesota Timberwolves,Minnesota Timberwolves,12
New York Knicks,Milwaukee Bucks,New York Knicks,7
Denver Nuggets,Golden State Warriors,Denver Nuggets,6
Los Angeles Lakers,Boston Celtics,Boston Celtics,11
Miami Heat,Philadelphia 76ers,Miami Heat,6
Phoenix Suns,Dallas Mavericks,Dallas Mavericks,14
Detroit Pistons,Brooklyn Nets,Brooklyn Nets,6
Washington Wizards,Orlando Magic,Orlando Magic,8
Chicago Bulls,Atlanta Hawks,Chicago Bulls,5
Houston Rockets,Indiana Pacers,Indiana Pacers,6
New Orleans Pelicans,Memphis Grizzlies,Memphis Grizzlies,1
Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder,23
San Antonio Spurs,Utah Jazz,Utah Jazz,12
Portland Trail Blazers,Sacramento Kings,Portland Trail Blazers,17
Los Angeles Clippers,Charlotte Hornets,Los Angeles Clippers,9
Orlando Magic,Philadelphia 76ers,Philadelphia 76ers,20
Washington Wizards,Toronto Raptors,Toronto Raptors,30
Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks,22
Houston Rockets,Phoenix Suns,Phoenix Suns,16
Oklahoma City Thunder,New York Knicks,Oklahoma City Thunder,9
Dallas Mavericks,Cleveland Cavaliers,Cleveland Cavaliers,3
Boston Celtics,Detroit Pistons,Boston Celtics,6
Chicago Bulls,Indiana Pacers,Indiana Pacers,16
Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,8
New Orleans Pelicans,Utah Jazz,New Orleans Pelicans,7
Denver Nuggets,Memphis Grizzlies,Denver Nuggets,37
Golden State Warriors,Miami Heat,Miami Heat,12
Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,13
Los Angeles Lakers,Charlotte Hornets,Los Angeles Lakers,21
Orlando Magic,New York Knicks,Orlando Magic,9
Washington Wizards,Brooklyn Nets,Washington Wizards,6
Atlanta Hawks,Sacramento Kings,Sacramento Kings,7
Boston Celtics,Toronto Raptors,Boston Celtics,2
Cleveland Cavaliers,Milwaukee Bucks,Milwaukee Bucks,8
Houston Rockets,Philadelphia 76ers,Philadelphia 76ers,4
Denver Nuggets,Oklahoma City Thunder,Oklahoma City Thunder,26
Phoenix Suns,Charlotte Hornets,Phoenix Suns,14
Portland Trail Blazers,San Antonio Spurs,Portland Trail Blazers,6
Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,11
Utah Jazz,Miami Heat,Utah Jazz,8
Detroit Pistons,Toronto Raptors,Detroit Pistons,2
Indiana Pacers,New York Knicks,Indiana Pacers,14
Chicago Bulls,Philadelphia 76ers,Chicago Bulls,13
Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,2
Golden State Warriors,Dallas Mavericks,Dallas Mavericks,10
Washington Wizards,Atlanta Hawks,Atlanta Hawks,4
New Orleans Pelicans,Los Angeles Lakers,New Orleans Pelicans,20
Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder,16
San Antonio Spurs,Boston Celtics,Boston Celtics,33
Memphis Grizzlies,Sacramento Kings,Sacramento Kings,31
Phoenix Suns,Orlando Magic,Phoenix Suns,5
New York Knicks,Minnesota Timberwolves,New York Knicks,6
Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,3
Houston Rockets,Detroit Pistons,Houston Rockets,23
Milwaukee Bucks,Indiana Pacers,Indiana Pacers,9
Denver Nuggets,Charlotte Hornets,Denver Nuggets,18
Phoenix Suns,Portland Trail Blazers,Phoenix Suns,21
Utah Jazz,Dallas Mavericks,Utah Jazz,37
Los Angeles Clippers,Miami Heat,Los Angeles Clippers,17
Philadelphia 76ers,Chicago Bulls,Philadelphia 76ers,13
Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,8
New Orleans Pelicans,Brooklyn Nets,New Orleans Pelicans,27
Oklahoma City Thunder,Boston Celtics,Oklahoma City Thunder,4
Golden State Warriors,Orlando Magic,Golden State Warriors,6
Sacramento Kings,Charlotte Hornets,Charlotte Hornets,7
Cleveland Cavaliers,Washington Wizards,Cleveland Cavaliers,39
Indiana Pacers,Milwaukee Bucks,Indiana Pacers,12
Atlanta Hawks,Oklahoma City Thunder,Atlanta Hawks,3
Houston Rockets,Brooklyn Nets,Houston Rockets,11
Memphis Grizzlies,Toronto Raptors,Toronto Raptors,5
Minnesota Timberwolves,New Orleans Pelicans,New Orleans Pelicans,11
Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,29
New York Knicks,Chicago Bulls,New York Knicks,16
Phoenix Suns,Los Angeles Clippers,Los Angeles Clippers,9
Utah Jazz,Detroit Pistons,Utah Jazz,6
Los Angeles Lakers,Miami Heat,Miami Heat,14
Sacramento Kings,Orlando Magic,Sacramento Kings,3
San Antonio Spurs,Milwaukee Bucks,Milwaukee Bucks,4
Golden State Warriors,Denver Nuggets,Denver Nuggets,3
Boston Celtics,Utah Jazz,Boston Celtics,29
Indiana Pacers,Atlanta Hawks,Indiana Pacers,34
Brooklyn Nets,Oklahoma City Thunder,Brooklyn Nets,9
Cleveland Cavaliers,Washington Wizards,Cleveland Cavaliers,24
Philadelphia 76ers,New York Knicks,New York Knicks,36
Chicago Bulls,Charlotte Hornets,Chicago Bulls,13
Houston Rockets,Minnesota Timberwolves,Minnesota Timberwolves,27
New Orleans Pelicans,Los Angeles Clippers,Los Angeles Clippers,16
Dallas Mavericks,Portland Trail Blazers,Dallas Mavericks,36
Denver Nuggets,Orlando Magic,Orlando Magic,2
Phoenix Suns,Miami Heat,Phoenix Suns,16
Golden State Warriors,Detroit Pistons,Golden State Warriors,4
Los Angeles Lakers,Memphis Grizzlies,Memphis Grizzlies,14
Sacramento Kings,Toronto Raptors,Sacramento Kings,5
Indiana Pacers,Boston Celtics,Boston Celtics,17
Washington Wizards,New York Knicks,New York Knicks,16
Philadelphia 76ers,Utah Jazz,Utah Jazz,11
Houston Rockets,Milwaukee Bucks,Houston Rockets,4
Cleveland Cavaliers,San Antonio Spurs,Cleveland Cavaliers,2
Brooklyn Nets,Portland Trail Blazers,Portland Trail Blazers,7
Orlando Magic,Atlanta Hawks,Orlando Magic,7
Sacramento Kings,New Orleans Pelicans,New Orleans Pelicans,33
Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,7
Denver Nuggets,Detroit Pistons,Denver Nuggets,17
Phoenix Suns,Memphis Grizzlies,Memphis Grizzlies,6
Golden State Warriors,Toronto Raptors,Toronto Raptors,15
Los Angeles Lakers,Los Angeles Clippers,Los Angeles Lakers,3
Charlotte Hornets,Chicago Bulls,Chicago Bulls,7
Indiana Pacers,Boston Celtics,Indiana Pacers,2
Washington Wizards,Oklahoma City Thunder,Oklahoma City Thunder,8
Miami Heat,Houston Rockets,Miami Heat,7
Milwaukee Bucks,Utah Jazz,Utah Jazz,16
Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,27
Detroit Pistons,Sacramento Kings,Sacramento Kings,21
Orlando Magic,Minnesota Timberwolves,Minnesota Timberwolves,21
New York Knicks,Portland Trail Blazers,New York Knicks,28
Dallas Mavericks,Memphis Grizzlies,Memphis Grizzlies,17
Los Angeles Lakers,Toronto Raptors,Los Angeles Lakers,1
Boston Celtics,Minnesota Timberwolves,Boston Celtics,7
Charlotte Hornets,Sacramento Kings,Sacramento Kings,25
Detroit Pistons,San Antonio Spurs,San Antonio Spurs,22
Indiana Pacers,Washington Wizards,Indiana Pacers,8
Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,7
Miami Heat,Oklahoma City Thunder,Oklahoma City Thunder,8
Chicago Bulls,Houston Rockets,Chicago Bulls,5
Golden State Warriors,New Orleans Pelicans,New Orleans Pelicans,36
Utah Jazz,Denver Nuggets,Utah Jazz,13
Los Angeles Clippers,Toronto Raptors,Los Angeles Clippers,6
Cleveland Cavaliers,Brooklyn Nets,Cleveland Cavaliers,9
Milwaukee Bucks,Boston Celtics,Milwaukee Bucks,33
Oklahoma City Thunder,Portland Trail Blazers,Oklahoma City Thunder,62
Dallas Mavericks,New York Knicks,Dallas Mavericks,4
Los Angeles Lakers,Phoenix Suns,Phoenix Suns,18
Atlanta Hawks,Indiana Pacers,Indiana Pacers,18
Detroit Pistons,Houston Rockets,Houston Rockets,2
Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,19
Chicago Bulls,Golden State Warriors,Golden State Warriors,9
Memphis Grizzlies,Los Angeles Clippers,Los Angeles Clippers,9
Miami Heat,Orlando Magic,Miami Heat,3
Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves,23
San Antonio Spurs,Charlotte Hornets,San Antonio Spurs,36
Utah Jazz,Toronto Raptors,Utah Jazz,32
Denver Nuggets,New Orleans Pelicans,Denver Nuggets,12
Boston Celtics,Houston Rockets,Boston Celtics,32
Atlanta Hawks,Washington Wizards,Washington Wizards,28
Memphis Grizzlies,New York Knicks,New York Knicks,12
Milwaukee Bucks,Golden State Warriors,Milwaukee Bucks,11
Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,12
Dallas Mavericks,New Orleans Pelicans,New Orleans Pelicans,10
San Antonio Spurs,Chicago Bulls,Chicago Bulls,6
Utah Jazz,Los Angeles Lakers,Utah Jazz,7
Denver Nuggets,Indiana Pacers,Denver Nuggets,8
Miami Heat,Charlotte Hornets,Miami Heat,17
Milwaukee Bucks,Sacramento Kings,Milwaukee Bucks,1
Minnesota Timberwolves,Los Angeles Clippers,Minnesota Timberwolves,4
Portland Trail Blazers,Phoenix Suns,Phoenix Suns,11
Philadelphia 76ers,Houston Rockets,Philadelphia 76ers,9
Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks,5
New York Knicks,Orlando Magic,Orlando Magic,4
Washington Wizards,Detroit Pistons,Detroit Pistons,12
Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,10
Memphis Grizzlies,Golden State Warriors,Memphis Grizzlies,9
Cleveland Cavaliers,Chicago Bulls,Cleveland Cavaliers,18
Brooklyn Nets,Miami Heat,Miami Heat,1
Toronto Raptors,Boston Celtics,Boston Celtics,9
Utah Jazz,Indiana Pacers,Utah Jazz,27
Los Angeles Lakers,Oklahoma City Thunder,Los Angeles Lakers,7
Philadelphia 76ers,Denver Nuggets,Philadelphia 76ers,5
Phoenix Suns,Sacramento Kings,Phoenix Suns,2
Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,11
Detroit Pistons,Minnesota Timberwolves,Minnesota Timberwolves,7
Atlanta Hawks,Orlando Magic,Atlanta Hawks,2
Boston Celtics,San Antonio Spurs,Boston Celtics,19
Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,40
New York Knicks,Houston Rockets,New York Knicks,15
Toronto Raptors,Miami Heat,Toronto Raptors,24
New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,20
Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,17
Portland Trail Blazers,Brooklyn Nets,Portland Trail Blazers,2
New York Knicks,Washington Wizards,New York Knicks,4
Toronto Raptors,Chicago Bulls,Chicago Bulls,6
Utah Jazz,Oklahoma City Thunder,Oklahoma City Thunder,5
Minnesota Timberwolves,Memphis Grizzlies,Minnesota Timberwolves,15
Sacramento Kings,Indiana Pacers,Indiana Pacers,5
Charlotte Hornets,San Antonio Spurs,Charlotte Hornets,4
Orlando Magic,Philadelphia 76ers,Philadelphia 76ers,15
Boston Celtics,Denver Nuggets,Denver Nuggets,2
Miami Heat,Atlanta Hawks,Atlanta Hawks,1
New Orleans Pelicans,Phoenix Suns,Phoenix Suns,14
Portland Trail Blazers,Indiana Pacers,Portland Trail Blazers,3
Los Angeles Lakers,Brooklyn Nets,Brooklyn Nets,18
Detroit Pistons,Milwaukee Bucks,Milwaukee Bucks,6
Charlotte Hornets,Philadelphia 76ers,Philadelphia 76ers,8
Washington Wizards,San Antonio Spurs,San Antonio Spurs,4
Atlanta Hawks,Cleveland Cavaliers,Cleveland Cavaliers,21
New York Knicks,Toronto Raptors,New York Knicks,26
Chicago Bulls,Memphis Grizzlies,Chicago Bulls,29
Houston Rockets,Utah Jazz,Houston Rockets,1
Minnesota Timberwolves,Oklahoma City Thunder,Oklahoma City Thunder,5
Los Angeles Clippers,Brooklyn Nets,Los Angeles Clippers,11
Orlando Magic,Miami Heat,Orlando Magic,18
Washington Wizards,Denver Nuggets,Denver Nuggets,9
Houston Rockets,Boston Celtics,Boston Celtics,9
Phoenix Suns,Indiana Pacers,Phoenix Suns,7
Los Angeles Lakers,Portland Trail Blazers,Los Angeles Lakers,24
Detroit Pistons,Milwaukee Bucks,Milwaukee Bucks,9
Orlando Magic,Cleveland Cavaliers,Cleveland Cavaliers,27
Philadelphia 76ers,San Antonio Spurs,Philadelphia 76ers,10
Toronto Raptors,Memphis Grizzlies,Memphis Grizzlies,8
Minnesota Timberwolves,Charlotte Hornets,Charlotte Hornets,3
Dallas Mavericks,Boston Celtics,Boston Celtics,9
Phoenix Suns,Chicago Bulls,Phoenix Suns,2
Sacramento Kings,Atlanta Hawks,Sacramento Kings,15
Indiana Pacers,Denver Nuggets,Denver Nuggets,5
Brooklyn Nets,New York Knicks,New York Knicks,5
New Orleans Pelicans,Utah Jazz,New Orleans Pelicans,29
Oklahoma City Thunder,Portland Trail Blazers,Oklahoma City Thunder,2
Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,11
Detroit Pistons,Charlotte Hornets,Detroit Pistons,7
Washington Wizards,Minnesota Timberwolves,Minnesota Timberwolves,11
Miami Heat,Memphis Grizzlies,Memphis Grizzlies,9
Houston Rockets,Portland Trail Blazers,Portland Trail Blazers,6
Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,10
Dallas Mavericks,Phoenix Suns,Phoenix Suns,23
San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,26
Golden State Warriors,Atlanta Hawks,Golden State Warriors,22
Indiana Pacers,Philadelphia 76ers,Indiana Pacers,12
Washington Wizards,Utah Jazz,Utah Jazz,15
Brooklyn Nets,Minnesota Timberwolves,Minnesota Timberwolves,2
Miami Heat,Boston Celtics,Boston Celtics,33
New York Knicks,Denver Nuggets,New York Knicks,38
Golden State Warriors,Sacramento Kings,Sacramento Kings,1
Los Angeles Lakers,Chicago Bulls,Los Angeles Lakers,9
Atlanta Hawks,Dallas Mavericks,Dallas Mavericks,5
Charlotte Hornets,Houston Rockets,Houston Rockets,34
Indiana Pacers,Phoenix Suns,Indiana Pacers,2
Toronto Raptors,Los Angeles Clippers,Los Angeles Clippers,20
Memphis Grizzlies,Orlando Magic,Memphis Grizzlies,1
Milwaukee Bucks,Cleveland Cavaliers,Cleveland Cavaliers,12
New Orleans Pelicans,Oklahoma City Thunder,Oklahoma City Thunder,24
San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,16
Detroit Pistons,Washington Wizards,Washington Wizards,14
New York Knicks,Miami Heat,New York Knicks,16
Denver Nuggets,Philadelphia 76ers,Denver Nuggets,6
Brooklyn Nets,Houston Rockets,Brooklyn Nets,2
Boston Celtics,Los Angeles Clippers,Los Angeles Clippers,19
Charlotte Hornets,Utah Jazz,Utah Jazz,12
Milwaukee Bucks,New Orleans Pelicans,Milwaukee Bucks,24
Golden State Warriors,Los Angeles Lakers,Los Angeles Lakers,1
San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,1
Dallas Mavericks,Sacramento Kings,Sacramento Kings,5
Detroit Pistons,Oklahoma City Thunder,Detroit Pistons,16
Indiana Pacers,Memphis Grizzlies,Indiana Pacers,6
Atlanta Hawks,Toronto Raptors,Atlanta Hawks,1
Orlando Magic,Phoenix Suns,Orlando Magic,15
Portland Trail Blazers,Chicago Bulls,Chicago Bulls,8
Charlotte Hornets,New York Knicks,New York Knicks,21
Cleveland Cavaliers,Los Angeles Clippers,Cleveland Cavaliers,10
Boston Celtics,New Orleans Pelicans,Boston Celtics,6
Brooklyn Nets,Utah Jazz,Brooklyn Nets,33
Miami Heat,Phoenix Suns,Phoenix Suns,13
Houston Rockets,Los Angeles Lakers,Houston Rockets,16
Memphis Grizzlies,Sacramento Kings,Sacramento Kings,9
Oklahoma City Thunder,Minnesota Timberwolves,Minnesota Timberwolves,6
San Antonio Spurs,Washington Wizards,Washington Wizards,5
Dallas Mavericks,Orlando Magic,Dallas Mavericks,2
Denver Nuggets,Milwaukee Bucks,Denver Nuggets,6
Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,26
Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,16
Boston Celtics,Indiana Pacers,Boston Celtics,5
New York Knicks,Utah Jazz,New York Knicks,15
Chicago Bulls,Toronto Raptors,Toronto Raptors,11
Golden State Warriors,Philadelphia 76ers,Golden State Warriors,12
Charlotte Hornets,Chicago Bulls,Chicago Bulls,7
Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,7
Washington Wizards,Los Angeles Clippers,Los Angeles Clippers,16
Miami Heat,Sacramento Kings,Miami Heat,9
Houston Rockets,New Orleans Pelicans,New Orleans Pelicans,11
Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,34
Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,5
San Antonio Spurs,Orlando Magic,Orlando Magic,10
Brooklyn Nets,Phoenix Suns,Phoenix Suns,16
Portland Trail Blazers,Milwaukee Bucks,Portland Trail Blazers,3
Boston Celtics,Los Angeles Lakers,Los Angeles Lakers,9
New York Knicks,Indiana Pacers,New York Knicks,4
Memphis Grizzlies,Cleveland Cavaliers,Cleveland Cavaliers,7
Utah Jazz,Philadelphia 76ers,Philadelphia 76ers,3
Detroit Pistons,Los Angeles Clippers,Los Angeles Clippers,11
Washington Wizards,Miami Heat,Miami Heat,8
Atlanta Hawks,Phoenix Suns,Atlanta Hawks,9
Indiana Pacers,Sacramento Kings,Sacramento Kings,11
Houston Rockets,Toronto Raptors,Houston Rockets,29
Memphis Grizzlies,Golden State Warriors,Golden State Warriors,20
Minnesota Timberwolves,Orlando Magic,Orlando Magic,2
Oklahoma City Thunder,Charlotte Hornets,Oklahoma City Thunder,20
San Antonio Spurs,New Orleans Pelicans,New Orleans Pelicans,1
Denver Nuggets,Portland Trail Blazers,Denver Nuggets,12
Philadelphia 76ers,Brooklyn Nets,Brooklyn Nets,15
Atlanta Hawks,Golden State Warriors,Atlanta Hawks,7
Chicago Bulls,Sacramento Kings,Sacramento Kings,8
Dallas Mavericks,Milwaukee Bucks,Milwaukee Bucks,12
New York Knicks,Los Angeles Lakers,Los Angeles Lakers,8
San Antonio Spurs,Cleveland Cavaliers,Cleveland Cavaliers,16
Detroit Pistons,Orlando Magic,Orlando Magic,12
Washington Wizards,Phoenix Suns,Phoenix Suns,28
Boston Celtics,Memphis Grizzlies,Boston Celtics,40
Charlotte Hornets,Indiana Pacers,Indiana Pacers,16
Miami Heat,Los Angeles Clippers,Los Angeles Clippers,8
Minnesota Timberwolves,Houston Rockets,Minnesota Timberwolves,21
Oklahoma City Thunder,Toronto Raptors,Oklahoma City Thunder,8
Utah Jazz,Milwaukee Bucks,Utah Jazz,15
Denver Nuggets,Portland Trail Blazers,Denver Nuggets,9
Charlotte Hornets,Los Angeles Lakers,Los Angeles Lakers,6
Cleveland Cavaliers,Sacramento Kings,Cleveland Cavaliers,26
Philadelphia 76ers,Dallas Mavericks,Dallas Mavericks,16
Atlanta Hawks,Los Angeles Clippers,Los Angeles Clippers,5
Brooklyn Nets,Golden State Warriors,Golden State Warriors,11
New Orleans Pelicans,Toronto Raptors,New Orleans Pelicans,38
Indiana Pacers,Houston Rockets,Indiana Pacers,3
Brooklyn Nets,Dallas Mavericks,Dallas Mavericks,12
Miami Heat,Orlando Magic,Miami Heat,26
New York Knicks,Memphis Grizzlies,New York Knicks,10
Chicago Bulls,Minnesota Timberwolves,Chicago Bulls,6
Utah Jazz,Oklahoma City Thunder,Utah Jazz,7
Phoenix Suns,Milwaukee Bucks,Phoenix Suns,8
Charlotte Hornets,Toronto Raptors,Toronto Raptors,6
Washington Wizards,Cleveland Cavaliers,Cleveland Cavaliers,8
Boston Celtics,Atlanta Hawks,Boston Celtics,8
Miami Heat,San Antonio Spurs,Miami Heat,12
Philadelphia 76ers,Golden State Warriors,Golden State Warriors,23
Los Angeles Clippers,New Orleans Pelicans,New Orleans Pelicans,11
Sacramento Kings,Detroit Pistons,Detroit Pistons,13
Indiana Pacers,Golden State Warriors,Golden State Warriors,22
Orlando Magic,San Antonio Spurs,Orlando Magic,16
Brooklyn Nets,Cleveland Cavaliers,Cleveland Cavaliers,23
New York Knicks,Dallas Mavericks,Dallas Mavericks,14
Memphis Grizzlies,Chicago Bulls,Chicago Bulls,8
Milwaukee Bucks,Minnesota Timberwolves,Minnesota Timberwolves,24
Phoenix Suns,Utah Jazz,Phoenix Suns,14
Los Angeles Lakers,Denver Nuggets,Denver Nuggets,8
Portland Trail Blazers,Detroit Pistons,Detroit Pistons,6
Philadelphia 76ers,Atlanta Hawks,Atlanta Hawks,6
Boston Celtics,Washington Wizards,Boston Celtics,4
Toronto Raptors,Houston Rockets,Toronto Raptors,3
Milwaukee Bucks,Charlotte Hornets,Milwaukee Bucks,36
Sacramento Kings,Denver Nuggets,Sacramento Kings,29
Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers,17
Dallas Mavericks,Oklahoma City Thunder,Dallas Mavericks,35
Los Angeles Clippers,Detroit Pistons,Los Angeles Clippers,6
Brooklyn Nets,San Antonio Spurs,Brooklyn Nets,20
Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,9
Orlando Magic,Chicago Bulls,Orlando Magic,6
Washington Wizards,Philadelphia 76ers,Philadelphia 76ers,6
Atlanta Hawks,Houston Rockets,Atlanta Hawks,9
New York Knicks,Indiana Pacers,Indiana Pacers,14
Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers,24
Golden State Warriors,Phoenix Suns,Golden State Warriors,1
Portland Trail Blazers,New Orleans Pelicans,New Orleans Pelicans,9
Miami Heat,Boston Celtics,Boston Celtics,4
Oklahoma City Thunder,Sacramento Kings,Oklahoma City Thunder,14
Charlotte Hornets,Indiana Pacers,Charlotte Hornets,9
Cleveland Cavaliers,Philadelphia 76ers,Philadelphia 76ers,2
Atlanta Hawks,Chicago Bulls,Chicago Bulls,10
Toronto Raptors,San Antonio Spurs,San Antonio Spurs,23
Houston Rockets,New York Knicks,Houston Rockets,2
Memphis Grizzlies,New Orleans Pelicans,New Orleans Pelicans,9
Milwaukee Bucks,Denver Nuggets,Milwaukee Bucks,17
Dallas Mavericks,Washington Wizards,Dallas Mavericks,8
Utah Jazz,Golden State Warriors,Golden State Warriors,22
Los Angeles Clippers,Minnesota Timberwolves,Minnesota Timberwolves,21
Brooklyn Nets,Boston Celtics,Boston Celtics,8
Orlando Magic,Oklahoma City Thunder,Oklahoma City Thunder,14
Milwaukee Bucks,Miami Heat,Miami Heat,26
Phoenix Suns,Sacramento Kings,Phoenix Suns,5
Portland Trail Blazers,Minnesota Timberwolves,Minnesota Timberwolves,12
Los Angeles Lakers,Detroit Pistons,Los Angeles Lakers,14
Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,23
Orlando Magic,New York Knicks,Orlando Magic,18
Philadelphia 76ers,Miami Heat,Miami Heat,5
Boston Celtics,Brooklyn Nets,Boston Celtics,50
Cleveland Cavaliers,Chicago Bulls,Cleveland Cavaliers,3
Toronto Raptors,Indiana Pacers,Indiana Pacers,2
Memphis Grizzlies,Houston Rockets,Memphis Grizzlies,8
New Orleans Pelicans,Washington Wizards,New Orleans Pelicans,7
Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,23
Denver Nuggets,Sacramento Kings,Sacramento Kings,4
Phoenix Suns,Detroit Pistons,Phoenix Suns,16
Utah Jazz,Los Angeles Lakers,Los Angeles Lakers,16
Golden State Warriors,Los Angeles Clippers,Los Angeles Clippers,5
Memphis Grizzlies,Milwaukee Bucks,Memphis Grizzlies,3
Utah Jazz,Golden State Warriors,Golden State Warriors,3
Portland Trail Blazers,Minnesota Timberwolves,Minnesota Timberwolves,37
Cleveland Cavaliers,Orlando Magic,Orlando Magic,7
Indiana Pacers,Detroit Pistons,Indiana Pacers,14
Philadelphia 76ers,New York Knicks,New York Knicks,14
Toronto Raptors,Brooklyn Nets,Toronto Raptors,28
