Rk,Player,Age,G,MP,PER,TSpct,3PAr,FTr,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,USGpct,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Team
10,Zeke Nnaji,23,58,576,12.4,.528,.154,.416,12.1,12.2,12.1,7.0,1.3,5.6,13.3,15.4,0.4,0.8,1.2,.099,-3.8,0.1,-3.7,-0.2,Denver Nuggets
11,Julian Strawther,21,50,545,8.2,.482,.622,.140,1.0,11.1,6.2,11.3,1.5,1.1,8.9,20.7,-0.4,0.6,0.2,.015,-4.6,-1.4,-6.0,-0.6,Denver Nuggets
12,DeAndre Jordan,35,36,396,16.0,.610,.000,.570,15.6,28.0,22.0,8.5,0.8,3.4,16.5,15.4,0.6,0.6,1.2,.147,-1.7,-0.1,-1.7,0.0,Denver Nuggets
13,Collin Gillespie,24,24,225,11.0,.586,.551,.174,0.5,9.6,5.2,15.5,2.9,0.0,15.9,17.1,0.1,0.3,0.4,.076,-3.7,0.9,-2.7,0.0,Denver Nuggets
14,Jalen Pickett,24,27,122,9.7,.571,.714,.114,0.9,11.5,6.4,21.7,1.6,0.0,19.7,16.4,0.0,0.1,0.2,.065,-2.7,-0.5,-3.3,0.0,Denver Nuggets
15,Braxton Key,26,20,60,16.5,.536,.294,.471,5.7,26.9,16.6,18.8,1.7,1.4,4.6,15.7,0.1,0.1,0.2,.180,0.5,1.6,2.1,0.1,Denver Nuggets
16,Jay Huff,25,20,49,18.5,.724,.600,.133,4.7,19.8,12.4,5.6,2.0,5.2,5.9,15.0,0.1,0.1,0.2,.212,-0.3,1.6,1.3,0.0,Denver Nuggets
17,Hunter Tyson,23,18,48,6.0,.500,.700,.000,2.4,18.0,10.4,5.6,1.0,0.0,9.1,20.0,0.0,0.1,0.0,.007,-6.8,-2.1,-8.9,-0.1,Denver Nuggets
1,Anthony Davis,30,76,2700,25.8,.621,.083,.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,.210,3.5,1.7,5.1,4.9,Los Angeles Lakers
2,Austin Reaves,25,82,2629,15.5,.613,.447,.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,3.9,2.0,5.9,.108,0.9,-0.4,0.4,1.6,Los Angeles Lakers
3,LeBron James,39,71,2504,23.7,.630,.286,.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,5.7,2.8,8.5,.164,5.5,0.9,6.5,5.4,Los Angeles Lakers
4,D'Angelo Russell,27,76,2484,16.0,.588,.505,.178,1.3,8.9,5.3,27.6,1.3,1.3,11.8,23.0,3.3,1.8,5.1,.099,1.7,-0.8,0.9,1.8,Los Angeles Lakers
5,Taurean Prince,29,78,2108,8.8,.579,.622,.119,1.2,10.5,6.1,7.2,1.3,1.4,10.8,13.8,0.3,1.7,1.9,.043,-2.6,-0.2,-2.8,-0.4,Los Angeles Lakers
6,Rui Hachimura,25,68,1826,15.0,.628,.343,.198,3.7,13.7,8.9,6.3,1.1,1.2,5.9,18.5,2.7,1.5,4.1,.108,0.0,-0.9,-0.9,0.5,Los Angeles Lakers
7,Cam Reddish,24,48,984,7.7,.504,.470,.231,3.2,7.7,5.6,6.0,2.3,1.2,10.7,12.7,-0.3,0.9,0.6,.030,-4.0,0.8,-3.2,-0.3,Los Angeles Lakers
8,Max Christie,20,67,944,8.4,.544,.490,.191,1.9,14.2,8.4,8.0,1.0,1.6,11.8,13.6,-0.1,0.8,0.7,.036,-3.2,-0.4,-3.6,-0.4,Los Angeles Lakers
9,Jaxson Hayes,23,70,877,14.0,.718,.046,.469,9.2,17.1,13.4,5.0,1.8,2.9,16.9,12.5,1.4,1.1,2.5,.135,-2.8,0.9,-1.9,0.0,Los Angeles Lakers
10,Christian Wood,28,50,872,12.3,.568,.432,.356,5.2,26.1,16.2,7.4,0.9,3.3,14.1,17.6,0.0,1.1,1.2,.064,-2.6,-0.2,-2.8,-0.2,Los Angeles Lakers
11,Spencer Dinwiddie,30,28,678,8.0,.586,.638,.355,0.7,6.7,3.9,12.2,0.9,1.7,15.1,12.2,0.3,0.4,0.7,.052,-3.2,-0.1,-3.2,-0.2,Los Angeles Lakers
12,Jarred Vanderbilt,24,29,581,11.6,.578,.237,.316,8.3,17.7,13.2,7.7,2.9,0.7,17.7,11.7,0.3,0.8,1.1,.089,-2.9,1.3,-1.6,0.0,Los Angeles Lakers
13,Gabe Vincent,27,11,218,3.1,.341,.571,.041,2.1,2.4,2.3,11.6,2.0,0.0,9.1,10.9,-0.3,0.1,-0.1,-0.033,-6.9,0.4,-6.5,-0.2,Los Angeles Lakers
14,Jalen Hood-Schifino,20,21,109,-1.5,.316,.333,.444,2.1,10.7,6.6,9.1,1.3,1.6,14.3,24.9,-0.6,0.1,-0.5,-0.222,-12.4,-3.7,-16.1,-0.4,Los Angeles Lakers
15,Maxwell Lewis,21,34,103,-3.9,.246,.429,.143,2.3,2.1,2.2,6.8,0.9,0.8,30.9,13.6,-0.5,0.0,-0.4,-0.195,-10.3,-3.2,-13.5,-0.3,Los Angeles Lakers
16,Skylar Mays,26,17,77,12.3,.524,.238,.000,1.5,6.9,4.3,16.8,4.3,1.1,8.7,12.9,0.0,0.1,0.1,.092,-3.5,2.9,-0.6,0.0,Los Angeles Lakers
17,Colin Castleton,23,16,59,13.0,.644,.000,.375,11.9,10.8,11.3,6.8,1.6,0.0,13.9,15.8,0.1,0.0,0.2,.128,-3.9,-1.4,-5.2,0.0,Los Angeles Lakers
18,D'Moi Hodge,25,7,41,6.1,.441,.800,.133,0.0,0.0,0.0,15.6,1.2,2.1,5.9,17.8,0.0,0.0,0.0,-0.019,-3.7,-2.6,-6.3,0.0,Los Angeles Lakers
19,Dylan Windler,27,8,28,15.9,.667,.889,.000,0.0,11.3,6.0,28.2,0.0,0.0,0.0,13.9,0.1,0.0,0.1,.194,3.8,-0.6,3.2,0.0,Los Angeles Lakers
20,Harry Giles,25,7,19,-1.0,.167,.500,.000,0.0,22.3,11.7,0.0,2.5,0.0,0.0,13.6,-0.1,0.0,-0.1,-0.162,-9.7,-3.2,-12.9,-0.1,Los Angeles Lakers
21,Alex Fudge,20,4,14,-1.9,.291,.333,.333,16.7,0.0,7.9,0.0,0.0,0.0,12.7,24.3,-0.1,0.0,-0.1,-0.222,-9.9,-8.3,-18.1,-0.1,Los Angeles Lakers
1,Anthony Edwards,22,79,2770,19.7,.575,.341,.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,.130,2.7,0.5,3.3,3.7,Minnesota Timberwolves
2,Rudy Gobert,31,76,2593,19.3,.675,.005,.635,13.1,29.2,21.5,5.6,1.0,5.5,13.1,15.4,5.8,5.8,11.6,.216,0.1,1.7,1.8,2.5,Minnesota Timberwolves
3,Mike Conley,36,76,2193,15.8,.627,.629,.174,2.0,9.0,5.6,28.4,2.0,0.7,12.8,16.0,5.0,3.3,8.2,.180,2.0,1.4,3.4,3.0,Minnesota Timberwolves
4,Jaden McDaniels,23,72,2105,9.4,.571,.406,.126,3.2,8.7,6.0,6.8,1.5,1.8,11.6,15.7,0.3,3.1,3.4,.077,-3.3,0.7,-2.6,-0.3,Minnesota Timberwolves
5,Karl-Anthony Towns,28,62,2026,18.8,.625,.344,.307,5.5,22.6,14.4,15.1,1.0,1.8,14.1,27.4,2.6,3.6,6.3,.148,1.6,0.9,2.5,2.3,Minnesota Timberwolves
6,Naz Reid,24,81,1964,16.0,.595,.479,.174,4.4,19.3,12.2,8.3,1.6,3.3,10.8,23.1,1.1,3.8,4.9,.120,0.4,1.1,1.5,1.7,Minnesota Timberwolves
7,Nickeil Alexander-Walker,25,82,1921,10.9,.578,.623,.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,1.5,2.8,4.3,.107,-1.1,1.3,0.2,1.1,Minnesota Timberwolves
8,Kyle Anderson,30,79,1782,12.7,.513,.111,.316,4.0,13.0,8.7,25.0,2.0,2.3,15.6,14.5,1.4,3.1,4.5,.121,-1.6,2.7,1.1,1.4,Minnesota Timberwolves
9,Jordan McLaughlin,27,56,626,15.5,.638,.614,.124,3.4,9.4,6.5,23.7,2.8,1.0,11.1,12.1,1.4,1.1,2.5,.193,1.4,2.9,4.2,1.0,Minnesota Timberwolves
10,Shake Milton,27,38,491,8.3,.496,.331,.275,1.7,9.7,5.9,14.1,1.6,0.9,13.5,18.7,-0.3,0.7,0.4,.039,-4.8,0.6,-4.2,-0.3,Minnesota Timberwolves
11,Troy Brown Jr.,24,37,410,11.6,.603,.712,.186,4.1,15.4,10.0,11.7,1.0,0.4,12.4,15.7,0.4,0.6,1.0,.118,-0.2,0.5,0.4,0.2,Minnesota Timberwolves
12,Monte Morris,28,27,408,13.9,.537,.492,.142,1.5,10.6,6.3,20.4,2.2,1.7,3.8,14.3,0.6,0.7,1.3,.154,-0.2,2.2,2.0,0.4,Minnesota Timberwolves
13,T.J. Warren,30,11,125,9.2,.479,.317,.098,4.8,14.8,10.0,10.1,1.6,0.7,8.6,16.5,0.0,0.2,0.2,.060,-5.0,0.5,-4.5,-0.1,Minnesota Timberwolves
14,Luka Garza,25,25,122,21.8,.576,.427,.333,18.6,10.7,14.4,5.9,1.6,0.7,6.5,33.3,0.2,0.2,0.4,.166,0.6,-2.7,-2.1,0.0,Minnesota Timberwolves
15,Josh Minott,21,32,91,20.4,.593,.278,.389,5.2,15.5,10.6,13.2,2.7,4.9,4.5,21.4,0.2,0.2,0.4,.222,1.8,3.3,5.1,0.2,Minnesota Timberwolves
16,Wendell Moore Jr.,22,25,75,8.6,.500,.333,.000,0.0,17.4,9.1,10.9,3.3,1.2,18.2,13.0,-0.1,0.2,0.1,.052,-6.1,3.3,-2.8,0.0,Minnesota Timberwolves
17,Leonard Miller,20,17,52,27.0,.694,.250,.100,11.5,31.3,21.8,25.5,1.9,1.7,4.6,18.6,0.2,0.1,0.3,.323,5.9,3.7,9.6,0.2,Minnesota Timberwolves
18,Daishen Nix,21,15,50,12.3,.507,.708,.250,2.4,4.3,3.4,17.8,4.9,0.0,15.8,28.0,-0.1,0.1,0.0,.014,-2.8,1.4,-1.4,0.0,Minnesota Timberwolves
19,Justin Jackson,28,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.031,-6.3,-1.2,-7.5,0.0,Minnesota Timberwolves
1,Kevin Durant,35,75,2791,21.2,.626,.283,.295,1.7,17.5,10.0,22.2,1.2,2.9,13.1,29.0,5.1,3.2,8.3,.142,4.0,0.1,4.0,4.3,PHO
2,Grayson Allen,28,75,2513,13.8,.679,.652,.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,.132,1.1,0.1,1.3,2.0,PHO
3,Devin Booker,27,68,2447,21.9,.611,.320,.350,2.7,11.1,7.1,31.2,1.2,1.0,10.6,29.8,7.2,2.0,9.2,.181,4.0,-1.0,3.0,3.1,PHO
4,Jusuf Nurkić,29,76,2078,17.4,.559,.144,.416,12.8,31.7,22.8,19.9,1.9,3.4,19.1,19.1,2.0,3.8,5.8,.133,-1.0,2.1,1.1,1.6,PHO
5,Eric Gordon,35,68,1893,10.8,.580,.642,.104,1.0,6.0,3.6,10.0,1.7,1.4,10.2,16.5,1.0,1.5,2.5,.063,-1.3,-0.5,-1.7,0.1,PHO
6,Bradley Beal,30,53,1767,16.3,.607,.320,.182,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,2.4,1.5,3.9,.107,0.9,-0.6,0.4,1.1,PHO
7,Drew Eubanks,26,75,1169,14.4,.645,.012,.368,10.5,20.1,15.6,7.2,1.1,4.6,17.2,13.2,1.6,1.6,3.1,.129,-2.0,0.8,-1.2,0.2,PHO
8,Josh Okogie,25,60,960,12.0,.552,.456,.495,9.2,9.0,9.1,8.4,2.4,2.2,12.5,13.0,1.0,1.1,2.1,.104,-1.3,0.8,-0.5,0.4,PHO
9,Royce O'Neale,30,30,752,12.3,.555,.734,.061,3.5,19.2,11.7,14.3,1.8,1.8,9.1,13.9,0.8,0.9,1.7,.108,-0.2,1.4,1.3,0.6,PHO
10,Keita Bates-Diop,28,39,597,11.3,.525,.427,.240,6.0,12.8,9.6,7.4,1.8,3.0,7.3,13.0,0.4,0.7,1.1,.089,-1.5,0.3,-1.2,0.1,PHO
11,Jordan Goodwin,25,40,558,12.5,.481,.415,.150,8.5,14.8,11.8,18.7,2.0,1.4,12.4,18.2,0.2,0.6,0.8,.072,-1.3,0.4,-0.9,0.2,PHO
12,Bol Bol,24,43,469,18.7,.700,.344,.126,8.1,24.1,16.5,5.3,1.0,4.7,10.7,16.5,1.0,0.7,1.6,.168,1.4,0.8,2.1,0.5,PHO
13,Nassir Little,23,45,458,9.9,.572,.565,.161,3.6,14.3,9.3,6.1,1.1,1.9,9.5,13.9,0.3,0.4,0.7,.074,-2.4,-0.6,-3.0,-0.1,PHO
14,Chimezie Metu,26,37,448,13.9,.621,.392,.331,6.4,20.6,13.9,5.8,2.1,1.8,15.3,17.0,0.4,0.6,1.0,.106,-1.6,0.3,-1.3,0.1,PHO
15,Yuta Watanabe,29,29,382,5.4,.502,.773,.155,3.4,9.6,6.7,3.3,1.2,1.6,13.4,13.6,-0.3,0.3,0.0,.004,-4.6,-1.4,-6.0,-0.4,PHO
16,Saben Lee,24,24,185,13.5,.492,.291,.709,5.8,12.8,9.5,21.0,1.8,1.4,10.0,18.8,0.2,0.2,0.4,.099,-2.0,0.6,-1.4,0.0,PHO
17,Udoka Azubuike,24,16,113,12.3,.609,.000,.565,11.6,20.0,16.0,3.6,0.4,4.7,12.2,12.6,0.1,0.1,0.2,.100,-3.0,-0.1,-3.2,0.0,PHO
18,Thaddeus Young,35,10,89,15.1,.515,.048,.143,22.8,13.3,17.8,10.4,2.7,2.0,15.2,12.8,0.1,0.1,0.3,.137,-1.5,0.6,-0.9,0.0,PHO
19,David Roddy,22,17,63,7.9,.469,.348,.043,3.8,15.4,9.9,8.8,1.6,0.0,11.3,18.2,-0.1,0.1,0.0,-0.006,-4.8,-1.0,-5.8,-0.1,PHO
20,Isaiah Thomas,34,6,19,6.7,.400,.400,.000,0.0,0.0,0.0,21.9,0.0,0.0,0.0,22.8,0.0,0.0,0.0,-0.030,-1.6,-5.2,-6.9,0.0,PHO
21,Ish Wainright,29,4,16,5.2,.250,.667,.000,22.3,13.4,17.7,7.6,6.1,0.0,14.3,19.0,0.0,0.0,0.0,-0.042,-7.8,0.3,-7.5,0.0,PHO
22,Théo Maledon,22,4,13,-8.0,.470,.000,.750,0.0,8.3,4.3,0.0,0.0,0.0,36.1,27.7,-0.1,0.0,-0.1,-0.296,-17.6,-6.1,-23.7,-0.1,PHO
1,Paul George,33,74,2502,19.3,.613,.476,.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,4.4,2.8,7.3,.140,2.9,0.2,3.2,3.3,Los Angeles Clippers
2,James Harden,34,72,2470,18.6,.612,.594,.418,1.6,14.8,8.4,33.6,1.5,2.1,16.0,20.6,5.9,2.5,8.4,.163,3.8,0.3,4.1,3.8,Los Angeles Clippers
3,Kawhi Leonard,32,68,2330,23.2,.626,.289,.246,4.2,15.6,10.1,16.9,2.4,2.3,8.5,26.5,6.0,2.9,8.9,.184,4.8,0.6,5.5,4.4,Los Angeles Clippers
4,Norman Powell,30,76,1990,13.9,.626,.500,.224,0.9,9.8,5.5,5.9,1.1,1.0,7.3,20.0,2.8,1.3,4.1,.099,0.4,-1.2,-0.8,0.6,Los Angeles Clippers
5,Terance Mann,27,75,1873,12.0,.615,.414,.193,5.4,9.7,7.7,8.5,1.1,0.7,8.2,13.6,3.0,1.2,4.2,.106,-0.8,-0.7,-1.5,0.2,Los Angeles Clippers
6,Ivica Zubac,26,68,1794,19.3,.671,.000,.320,12.8,26.2,19.7,7.5,0.6,4.2,11.8,16.4,4.5,2.3,6.8,.182,0.8,0.0,0.8,1.3,Los Angeles Clippers
7,Russell Westbrook,35,68,1529,16.2,.514,.232,.241,7.1,17.8,12.7,29.2,2.4,1.4,16.4,25.2,0.2,1.9,2.1,.066,-0.2,0.7,0.5,1.0,Los Angeles Clippers
8,Amir Coffey,26,70,1460,10.0,.604,.523,.202,2.3,8.9,5.7,6.8,1.4,0.9,7.9,12.5,1.6,1.0,2.6,.084,-1.9,-0.3,-2.2,-0.1,Los Angeles Clippers
9,Daniel Theis,31,59,1007,14.5,.601,.242,.173,9.9,17.2,13.7,8.3,1.0,4.6,11.9,15.4,1.4,1.2,2.6,.122,-1.6,0.1,-1.5,0.1,Los Angeles Clippers
10,Mason Plumlee,33,46,674,15.8,.621,.039,.647,10.4,28.2,19.6,10.8,1.0,2.3,15.5,15.1,1.2,0.9,2.0,.146,-1.1,0.4,-0.8,0.2,Los Angeles Clippers
11,Bones Hyland,23,37,540,10.8,.490,.538,.092,1.1,10.1,5.7,24.5,2.4,0.7,14.4,24.8,-0.5,0.5,0.0,.003,-2.8,-0.8,-3.6,-0.2,Los Angeles Clippers
12,P.J. Tucker,38,28,420,6.1,.497,.667,.067,7.5,11.4,9.5,4.5,1.5,1.1,11.5,5.5,0.3,0.3,0.6,.070,-3.9,0.3,-3.5,-0.2,Los Angeles Clippers
13,Kobe Brown,24,44,394,7.6,.490,.533,.022,5.9,11.6,8.9,8.1,1.5,1.4,9.0,11.1,0.1,0.3,0.5,.055,-4.0,0.2,-3.8,-0.2,Los Angeles Clippers
14,Brandon Boston Jr.,22,32,345,8.7,.476,.323,.205,6.4,10.4,8.5,5.4,1.6,2.1,12.0,25.4,-0.6,0.3,-0.3,-0.040,-6.2,-2.7,-9.0,-0.6,Los Angeles Clippers
15,Xavier Moon,29,14,119,8.1,.352,.370,.043,7.9,9.2,8.5,23.4,1.2,2.3,9.6,19.1,-0.2,0.1,-0.1,-0.026,-4.7,-1.4,-6.1,-0.1,Los Angeles Clippers
16,Robert Covington,33,3,69,10.6,.455,.889,.222,3.4,9.5,6.5,12.1,4.3,2.6,0.0,6.3,0.1,0.1,0.2,.124,-2.3,4.5,2.3,0.1,Los Angeles Clippers
17,Moussa Diabaté,22,11,64,24.7,.576,.000,.737,27.4,15.4,21.2,8.6,3.9,1.4,7.4,18.6,0.2,0.1,0.3,.250,4.0,-0.5,3.5,0.1,Los Angeles Clippers
18,Nicolas Batum,35,3,54,9.8,.500,.875,.000,0.0,14.2,7.3,11.2,2.7,6.7,11.1,7.3,0.0,0.1,0.1,.091,-1.5,4.4,2.8,0.1,Los Angeles Clippers
19,KJ Martin,23,2,31,6.9,.460,.500,.200,3.8,7.0,5.5,4.3,3.2,2.9,15.5,18.2,-0.1,0.0,0.0,-0.034,-6.8,0.7,-6.1,0.0,Los Angeles Clippers
20,Jordan Miller,24,8,28,14.1,.658,.222,.222,12.5,7.8,10.1,0.0,0.0,0.0,9.2,17.0,0.1,0.0,0.1,.116,0.4,-4.2,-3.8,0.0,Los Angeles Clippers
21,Joshua Primo,21,2,10,-12.8,.333,.333,.000,11.7,0.0,5.6,0.0,0.0,9.0,57.1,30.7,-0.1,0.0,-0.1,-0.585,-16.8,-8.2,-25.0,-0.1,Los Angeles Clippers
1,Luka Dončić,24,70,2624,28.1,.617,.450,.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,8.5,3.5,12.0,.220,8.3,1.7,9.9,8.0,Dallas Mavericks
2,Tim Hardaway Jr.,31,79,2120,12.1,.542,.612,.173,1.1,11.9,6.5,9.2,1.0,0.2,6.2,22.6,0.8,1.4,2.2,.050,-0.8,-2.1,-2.9,-0.5,Dallas Mavericks
3,Kyrie Irving,31,58,2030,21.9,.608,.372,.186,2.4,13.2,7.8,23.8,1.7,1.2,8.0,28.1,4.9,2.0,6.9,.163,4.8,0.1,4.9,3.6,Dallas Mavericks
4,Derrick Jones Jr.,26,76,1783,11.7,.592,.483,.275,5.0,10.3,7.7,5.5,1.4,2.5,10.5,14.9,1.5,1.6,3.1,.083,-1.3,-0.3,-1.5,0.2,Dallas Mavericks
5,Josh Green,23,57,1505,9.9,.588,.500,.152,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,1.0,1.2,2.2,.071,-2.4,-0.3,-2.7,-0.3,Dallas Mavericks
6,Dereck Lively II,19,55,1294,18.1,.728,.007,.274,11.4,20.4,16.0,6.4,1.3,5.2,13.1,12.6,3.1,1.8,4.9,.183,-0.3,0.8,0.5,0.8,Dallas Mavericks
7,Grant Williams,25,47,1242,8.3,.560,.662,.174,4.1,10.8,7.4,8.2,0.9,1.9,13.4,13.6,0.4,1.0,1.3,.052,-2.7,-0.7,-3.4,-0.4,Dallas Mavericks
8,Dante Exum,28,55,1088,13.7,.645,.358,.225,2.5,12.4,7.5,19.3,1.0,0.4,12.9,15.0,2.1,0.8,2.9,.127,-0.3,-0.3,-0.6,0.4,Dallas Mavericks
9,Jaden Hardy,21,73,989,11.2,.517,.468,.159,2.2,12.2,7.2,15.7,1.1,0.4,10.8,24.9,-0.4,0.7,0.3,.014,-2.0,-2.1,-4.1,-0.5,Dallas Mavericks
10,P.J. Washington,25,29,935,11.0,.522,.560,.169,3.7,17.1,10.5,6.2,1.7,2.5,8.5,16.3,0.0,1.1,1.1,.056,-1.8,0.7,-1.2,0.2,Dallas Mavericks
11,Maxi Kleber,32,43,871,8.8,.573,.630,.322,3.8,14.1,9.0,9.5,0.9,3.0,14.4,9.6,0.6,0.8,1.4,.080,-2.3,1.0,-1.3,0.2,Dallas Mavericks
12,Dwight Powell,32,63,836,14.5,.716,.028,.840,12.7,15.2,14.0,12.4,1.5,2.1,18.1,9.1,2.2,0.9,3.1,.181,-1.1,0.8,-0.3,0.4,Dallas Mavericks
13,Daniel Gafford,25,29,623,25.0,.769,.000,.301,11.3,23.9,17.6,11.1,1.6,7.9,11.7,16.4,2.2,1.1,3.3,.257,2.5,3.4,5.9,1.3,Dallas Mavericks
14,Seth Curry,33,36,457,8.6,.502,.552,.131,3.6,8.8,6.2,8.4,1.8,0.6,9.4,15.9,-0.1,0.4,0.3,.034,-3.2,-0.9,-4.0,-0.2,Dallas Mavericks
15,Olivier-Maxence Prosper,21,40,336,11.6,.496,.433,.394,8.2,17.5,12.8,8.4,1.0,1.0,6.2,16.6,0.2,0.3,0.5,.076,-1.7,-1.3,-2.9,-0.1,Dallas Mavericks
16,A.J. Lawson,23,42,311,11.2,.519,.413,.190,4.9,12.6,8.8,8.9,1.5,0.8,9.6,20.0,0.0,0.3,0.2,.036,-3.1,-1.5,-4.6,-0.2,Dallas Mavericks
17,Richaun Holmes,30,23,237,13.9,.572,.000,.356,15.3,20.7,18.0,8.4,0.6,3.3,15.0,14.5,0.3,0.3,0.6,.119,-2.4,-0.6,-3.0,-0.1,Dallas Mavericks
18,Markieff Morris,34,26,216,6.6,.467,.618,.088,2.0,17.6,9.9,9.4,1.1,1.2,14.5,16.4,-0.3,0.2,-0.1,-0.014,-4.0,-1.3,-5.3,-0.2,Dallas Mavericks
19,Brandon Williams,24,17,113,9.3,.439,.278,.315,3.9,8.7,6.3,20.9,0.4,0.8,10.2,26.0,-0.2,0.1,-0.1,-0.044,-2.7,-2.8,-5.5,-0.1,Dallas Mavericks
20,Greg Brown III,22,6,40,10.5,.501,.273,.818,8.2,16.3,12.3,13.0,0.0,8.8,21.1,20.3,0.0,0.0,0.0,.000,-5.0,0.6,-4.4,0.0,Dallas Mavericks
21,Dexter Dennis,24,4,30,18.3,.541,.421,.158,3.7,29.0,16.4,23.7,0.0,2.9,12.9,33.3,0.0,0.0,0.0,.004,1.7,-0.1,1.7,0.0,Dallas Mavericks
22,Alex Fudge,20,2,26,16.2,.611,.333,.000,8.4,4.2,6.3,0.0,5.5,0.0,10.0,16.5,0.0,0.0,0.1,.108,-0.4,2.1,1.7,0.0,Dallas Mavericks
